dataset,n_share,n_source_private,method,source,target,AA,H-score,H3-score,AUROC,OSCR
domainnet,150,50,UniOT,painting,real,64.14,73.44,75.69,84.5,64.18
domainnet,150,50,UniOT,painting,sketch,59.51,68.89,66.74,79.41,53.61
domainnet,150,50,UniOT,real,painting,56.8,67.94,69.12,77.68,54.84
domainnet,150,50,UniOT,real,sketch,61.18,70.16,68.12,79.53,56.26
domainnet,150,50,UniOT,sketch,painting,54.36,65.6,67.24,76.53,52.74
domainnet,150,50,UniOT,sketch,real,63.94,73.1,75.67,84.64,65.45
domainnet,150,50,ClipDistill,painting,real,70.35,79.71,81.97,89.22,79.96
domainnet,150,50,ClipDistill,painting,sketch,56.12,70.08,69.27,85.08,68.76
domainnet,150,50,ClipDistill,real,painting,50.1,65.62,68.79,85.92,70.66
domainnet,150,50,ClipDistill,real,sketch,56.12,70.08,69.27,85.08,68.76
domainnet,150,50,ClipDistill,sketch,painting,50.1,65.62,68.79,85.92,70.67
domainnet,150,50,ClipDistill,sketch,real,70.35,79.71,81.97,89.22,79.96
domainnet,150,50,AutoDistill,painting,real,nan,nan,nan,nan,nan
domainnet,150,50,AutoDistill,painting,sketch,nan,nan,nan,nan,nan
domainnet,150,50,AutoDistill,real,painting,nan,nan,nan,nan,nan
domainnet,150,50,AutoDistill,real,sketch,nan,nan,nan,nan,nan
domainnet,150,50,AutoDistill,sketch,painting,nan,nan,nan,nan,nan
domainnet,150,50,AutoDistill,sketch,real,nan,nan,nan,nan,nan
