dataset,n_share,n_source_private,method,source,target,OA,AA,Closed-set OA,Closed-set AA
officehome,25,40,UB2DA,RealWorld,Product,0.05,0.06,0.0,0.0
officehome,25,40,debug,Art,Clipart,0.0,0.0,0.03,0.03
officehome,25,40,debug,Art,Product,0.05,0.06,0.03,0.02
officehome,25,40,debug,Art,RealWorld,0.03,0.02,0.03,0.03
officehome,25,40,debug,Clipart,Art,0.09,0.16,0.04,0.08
officehome,25,40,debug,Clipart,Product,0.05,0.06,0.03,0.02
officehome,25,40,debug,Clipart,RealWorld,0.03,0.02,0.03,0.03
officehome,25,40,debug,Product,Art,0.09,0.16,0.04,0.08
officehome,25,40,debug,Product,Clipart,0.0,0.0,0.03,0.03
officehome,25,40,debug,Product,RealWorld,0.03,0.02,0.03,0.03
officehome,25,40,debug,RealWorld,Art,0.09,0.16,0.04,0.08
officehome,25,40,debug,RealWorld,Clipart,0.0,0.0,0.03,0.03
officehome,25,40,debug,RealWorld,Product,0.05,0.06,0.03,0.02
officehome,25,40,debug0.3,Art,Clipart,0.03,0.03,0.0,0.0
officehome,25,40,debug0.3,Art,Product,0.0,0.0,0.0,0.0
officehome,25,40,debug0.3,Art,RealWorld,0.0,0.0,0.0,0.0
officehome,25,40,debug0.3,Clipart,Art,0.04,0.02,0.0,0.0
officehome,25,40,debug0.3,Clipart,Product,0.0,0.0,0.0,0.0
officehome,25,40,debug0.3,Clipart,RealWorld,0.0,0.0,0.0,0.0
officehome,25,40,debug0.3,Product,Art,0.04,0.02,0.0,0.0
officehome,25,40,debug0.3,Product,Clipart,0.03,0.03,0.0,0.0
officehome,25,40,debug0.3,Product,RealWorld,0.0,0.0,0.0,0.0
officehome,25,40,debug0.3,RealWorld,Art,0.04,0.02,0.0,0.0
officehome,25,40,debug0.3,RealWorld,Clipart,0.03,0.03,0.0,0.0
officehome,25,40,debug0.3,RealWorld,Product,0.0,0.0,0.0,0.0
officehome,25,40,WiSE-FT,Art,Clipart,0.03,0.04,0.21,0.18
officehome,25,40,WiSE-FT,Art,Product,0.17,0.16,0.19,0.13
officehome,25,40,WiSE-FT,Art,RealWorld,0.07,0.08,0.12,0.13
